timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1.1000,1.1050,1.0950,1.1020,1000
2023-01-01 01:00:00,1.1020,1.1080,1.1010,1.1060,1200
2023-01-01 02:00:00,1.1060,1.1070,1.1000,1.1010,1100
2023-01-01 03:00:00,1.1010,1.1030,1.0980,1.0990,1050
2023-01-01 04:00:00,1.0990,1.1000,1.0900,1.0920,1300
2023-01-01 05:00:00,1.0920,1.0950,1.0910,1.0940,900
2023-01-01 06:00:00,1.0940,1.1000,1.0930,1.0990,1100
2023-01-01 07:00:00,1.0990,1.1020,1.0980,1.1010,1000
2023-01-01 08:00:00,1.1010,1.1050,1.1000,1.1040,1400
2023-01-01 09:00:00,1.1040,1.1100,1.1030,1.1090,1500
2023-01-01 10:00:00,1.1090,1.1150,1.1080,1.1120,1600
2023-01-01 11:00:00,1.1120,1.1140,1.1100,1.1110,1200
2023-01-01 12:00:00,1.1110,1.1130,1.1090,1.1100,1100
